Width,Height,Count
1338,2000,38
1315,2000,25
1159,2000,1
1214,2000,2
1398,2000,5
1185,2000,1
1355,2000,33
1340,2000,61
1217,2000,1
1539,2000,1
1228,2000,2
1330,2000,58
1467,2000,11
1135,2000,2
1516,2000,7
1242,2000,3
1460,2000,8
1368,2000,21
1435,2000,7
1422,2000,5
1273,2000,1
1549,2000,2
1530,2000,4
1518,2000,2
1284,2000,6
1423,2000,2
1369,2000,32
1203,2000,1
1223,2000,1
1378,2000,42
1550,2000,2
1477,2000,5
1399,2000,7
1381,2000,25
1474,2000,4
1291,2000,8
1468,2000,11
1360,2000,26
1251,2000,3
1510,2000,3
1294,2000,10
1234,2000,1
1165,2000,1
1253,2000,3
1334,2000,33
1545,2000,3
1519,2000,2
1254,2000,1
1120,2000,1
1385,2000,16
1343,2000,50
1403,2000,2
1224,2000,1
1274,2000,2
1470,2000,12
1547,2000,1
1372,2000,31
1387,2000,9
1548,2000,2
1375,2000,35
1256,2000,1
1481,2000,4
1189,2000,1
1400,2000,5
1345,2000,76
1155,2000,1
1346,2000,63
1583,2000,1
1282,2000,7
1088,2000,1
1432,2000,4
1442,2000,4
1553,2000,1
1370,2000,31
1420,2000,3
1309,2000,15
1565,2000,2
1520,2000,4
1409,2000,3
1365,2000,26
1465,2000,8
1267,2000,4
1247,2000,2
1471,2000,2
1235,2000,1
1148,2000,1
1418,2000,1
1419,2000,4
1498,2000,2
1347,2000,161
1511,2000,3
1537,2000,2
1265,2000,3
1411,2000,9
1402,2000,9
1300,2000,12
1431,2000,7
1416,2000,6
1248,2000,4
1138,2000,5
1407,2000,8
1455,2000,11
1264,2000,3
1351,2000,47
1480,2000,3
1277,2000,5
1198,2000,1
1244,2000,4
